roomid,action_seqs,label
44255395911,1|3|33|33|33|33|33|33|33|33|35|35|35|35|35|35|33|33|33|33|33|33|33|33|33|33,1
44854505567,35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|8|8|8|35|35|33|33|33|33|35|35|35|35|35|35|35|35|35|35|8|8|8|35|35|33|33|33|33|3|1,1
47532673227,8|2|2|55|51|51|51|51|8|8|8|51|51|8|51|51|51|2|8|35|35|35|35|35|35|35|35|35|35|35|35|2|8|35|35|35|35|33|33|33|33|55|51|55|51|2|8|8|8|8|8|51|51|2|35|35|51|51|8|2|35|35,1
48168155235,39|39|33|33|8|33|33|33|33|33|33|1|1|8|8|39,1
48764955624,1|3|2|1|1|8|2|3|1|39|2|1|3|8,1
48836273040,2|2|2|2|2|2|35|35|33|33|33|33|33|33|2|2|2|35|35|33|33|33|33|33|33|2|2|7,1
39317642886,2|2|2|2|2|30|2|2|2|2|2|2|2|2|2|2|2,0
31548876235,2|2|8|8|2|2|2|2|8|1|1|1|8|8|8,0
7604865037,2|2|2|2|2|2|2|2|2|2|2,0
4708199177,1|1|1|1|2|1|1|1|1|1|1|2|2|1|1|1|1|1|1|1|1,0
147184193,2|2|2|2|2|2|2|2|2|2|2|2|2,0
18357115808,2|2|2|2|2|2|2|2|2|2|2|2|2|2,0
44969683716,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0
47792467575,2|2|2|2|2|2|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0
21105821038,1|1|35|33|33|33|33|33|33|35|33|33|33|33|33|33|35|1|2|2|2|1|2|1|1|1|1|1|1,0
20525253001,36|36|36|36|36|36|36|36|36|36|36|36|36|36|31|8|35|35|35|35|35|35|33|33|33|33|30|30,0
17405073850,2|8|8|8|8|2|8|2|8|8,0
49543660347,8|2|8|8|8|2|2|2|2|2|8|8,0
18952649308,2|55|51|2|2|51|51|2|51|1|1|51|2|1|2|2|2|2|1|2|2|2|1|1|1|55|51|1|51|1|1|1|51|51|1|2|1|2|1|2|2|2|2|2|2|2|2|2|2|2|2|1|1|2|8|2|2|1|1|3|1|1,0
23791134532,2|2|2|2|2|2|2|2|2|1|2|2|2|2|2|2|2|2|2|2,0
20205724355,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|28|2|2,0
44065290804,1|2|2|1|1|2|2|2|2|2|2|8,0
9227074144,1|1|1|7|1|1|2|2|2|1|2|8|1|2|2|2|1|2|1|2|2|2|2,0
31378171587,1|1|1|1|1|1|1|1|2|2|2|2,0
34826388422,8|8|2|2|8|1|3|1|3|3|1|2|2|2|8|2|8|8|8|2|35|35|8|39|39|35|35,0
45202496910,2|2|2|1|2|2|1|2|1|1|1|1|2|1|2|1|1|2|2|1|1,0
19915618490,3|1|2|2|8|2|2|2|8|2|2,0
47507267349,3|1|3|1|1|3|3|1|1|3|2|1|3|1|3|1|1|3|1|3|1|1|3,0
48237946433,2|2|2|2|1|2|2|2|2|2,0
43102786752,2|2|2|1|2|2|1|2|2|1|2|1|1|1|2|2|2|1|2,0
49467742484,2|2|2|8|2|2|2|2|2|2|8|2|2|2|2|2|2|2|2|2,0
44517705951,35|35|35|35|33|33|33|33|30|30|35|35|33|33|33|33|30,0
1492286498,8|1|1|8|55|51|1|30|30|1|2|2|8|1|55|51|55|51|1|55|51|55|51|8|55|55|51|51|55|51|55|51|55|51|55|51|55|51|55|55|51|51|55|51|55|51|1|55|51|55|51|1|1|1|55|51|55|51|1|1|55|51|55|51|55|51|55|51|1|55|51,0
25756019173,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0
49472270854,2|8|2|2|2|2|2|8|8|2|8|8|1,0
20721232293,2|30|30|30|30|2|35|35|30|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|39|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0
8680159152,35|35|2|2|2|2|2|2|2|2|2|1|2|2|2|2|2|30|2|2|2|1|37|37|2|2|2|38|2|34|34|34|34|30|8|8|8|8|8|2|2|8|8,0
48574560866,2|1|1|2|1|1|1|30|1|2|1|1|1,0
21829175485,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0
17472849359,3|1|2|1|2|2|2|2|25|29|2|2|1|1|32|35|35|1|2|2|2|2|2|1|1|2|2|35|35,0
18391600213,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0
17699630824,1|2|55|51|51|51|51|51|51|51|2|51|51|2|51|2,0
30741186850,36|30|30|2|2|2|31|2|2|8,0
25514743634,2|9|1|1|2|9|2|9|2|9|1|2|9|2|2|8|1|2|9|1|1|1|2|1|1|2|2|1|2|2|8|2|2|2|3|1|2|9|1|8|1|2|1|2|2|2|8|2|2|1|2|1|2|2|2|2|1|1|2|1|2|2|8|2|2|9|2|2|2|1|1|2|9|2|2|2,0
49838055886,35|35|2|1|2|1|1|1|1|1|1|1|1|39|1|1|2|2|2|2|2|2|1|1|1|1|1|2|2|2|7|2|2|2|1|2|2|1|1|1|1|1|1|1|2|1|1,0
38886916838,38|2|2|2|2|2|2|2|1|2|2|2|2|2|2,0
44371099608,2|3|1|1|3|8|2|2|2|8|8|8|8|8|8,0
23322769774,2|8|8|2|8|8|8|8|8|8|8|8|8,0
24415747552,1|1|1|1|1|1|1|1|1|1|39|1|1|1|1|1|1|1|1,0
20536442345,2|8|8|2|2|2|2|2|2|2|8|2|2|2|2|2|2|2|2|2|2|2|2|2|8|8|2|2|2|2|2|8|8|8|2|8|2|2|2|1|2|8|8|8|8|2|2|2|2|8|2|8|2|2|8|8|2|2|2|2|8|8|2|2|2|8|2|2|2|2|8|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|8|2|2|8|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|8|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|8|2|2|2|1|3|2|2|8|2|2|2|8|8|2|2|1|2|2|2|2|2|2|30|2,0
43090502346,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0
18004861717,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|22|2,0
43448897986,2|2|2|2|2|1|2|8|2|2|8|2|35|35|33|33|33|33|2|2|35|35|35|35|33|33|33|33|33|33|2|2|2|1,0
24656431676,1|3|3|1|2|2|2|1|8|2|2|1|2|2|1|1|1|1|53|2|1|2|1|1|1|3|1|2|1|2|1|2|1|2|1|1|1|1|1|1|2|1|1|1|2|2|1|2|2|1|2|1|1|1|3|3|1|1|1|1|1|2|1|1|1|2|1|53|2|2|1|1|1|3|2|1|1|1|3|2|2|2|1|1|2|1|2|1|1|1|1|1|1|2|1|1|1|1|1|2|2,0
22438886801,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0
25502256722,1|1|1|1|1|2|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0
39174748178,1|54|50|50|1|54|50|50|50|50,0
20810034888,2|2|2|2|2|2|2|2|2|2,0
23081813182,2|1|1|2|2|1|1|2|1|2|1|1|2|1|1,0
43380487157,2|8|2|2|2|2|7|8|2|2|8|2|8,0
38669436658,2|2|2|2|2|2|2|2|2|2|2|2|2|2,0
48333362817,1|1|1|1|1|1|1|1|1|1|1|1|2|2|8|1|2|2|1|1|1|1|1|1|1|1|2|2|1|1|1|1|1|2|1|1|1|1|2|2|8|8|1|2|2|1|2,0
5189361157,29|2|2|2|2|55|51|29|2|2|2|29|39|29|2|29|29|2|29|29|2|2|29,0
34959558314,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0
19873366772,7|2|7|2|7|2|7|2|7|2|1|7|2|7|2|7|2|7|2|7|2|7|2|7|2|7|2|7|2|1|7|2|7|2|1|1|1|1|1|1|7|2|7|2|7|2|1|1|1|1|1|7|2|7|2|1,0
48819562202,1|3|35|35|33|33|33|33|2|2|2|2|2|8|8|35|35|35|35|33|33|33|33|30|2|2|2|2,0
25648360573,8|8|8|8|8|8|8|8|8|8|2|8|8|8|8|8|2|2|2|2|8|8|8|8|8|8|8|8|8|8|8|8|8|8|2|2|2|2|8|8|8|8|2|2|8|8|2|8|8|8|8|8|2|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|2|2|2|2|2|2|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|2|8|2|2|2|2,0
6847662507,2|2|2|2|2|8|8|2|2|2|2|2|2|2|2|8|8|8|8,0
7726135738,2|8|1|2|8|1|1|2|8|1,0
19937236254,2|2|2|2|39|2|2|2|2|2|2|2|2|2|7|7|2|2|2|7|7|2|2|2|2|2|2|2|2|2|2|2|2|7|2|2|2|2|2|2|2|2|2|7|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|7|2|2|2|39|2|2|2|2|2|2|2|2|2|2|2|2|7|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|39|2|2|2|2|2|2|2|2|2|2|2|2|7|2|2|2|7|2|2|2|2|2|2|2|2|2|7|2|2|2|2|2|2|7|2|2|2|2|2|2|7|2|2|2|2|2|2|7|2|2|2|2|2|2|7|2|2|2|2|2|2|7|7|2|2|2|2|2|2|2|2|7|7|2|2|2|2|2|2|7|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|7|2|2|7,0
10984028896,7|2|2|2|2|2|2|1|2|2|2,0
34584875314,7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|7|2|2,0
4669891593,1|2|2|1|2|1|2|1|1|2|1|1|1,0
48534559927,2|7|7|2|35|35|35|35|35|35|35|35|7|7|7|7|1|1|1|31|2|35|35|35|35|39|39,0
18332338249,2|2|2|2|2|8|8|8|8|8|8|2|2,0
47612057029,3|1|1|1|1|1|1|1|1|1|2|2|1|1|2|2|1|1|1|2|2|8|35|35|33|33|33|33|33|33|2|1|2|2|1|8|2,0
23147831381,2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0
49237073255,1|1|2|2|2|1|2|2|1|2|1|1|1|1|2,0
19832901704,2|2|2|55|55|51|51|55|55|51|51|55|51,0
25711051492,2|2|2|2|2|9|54|50|2|50|50|8|1|50|2|1,0
